stt,age,inc,eth,sex,edu,kid,mar,pop2008
AL,18-29,$20-40k,Hispanic,Female,HS,No Kids,Married,97
AL,18-29,$20-40k,Hispanic,Female,HS,No Kids,Single,7
AL,18-29,$20-40k,Hispanic,Female,Some Coll,Kids,Married,150
AL,18-29,$20-40k,Hispanic,Female,Some Coll,Kids,Single,62
AL,18-29,$20-40k,Hispanic,Female,Some Coll,No Kids,Married,3
AL,18-29,$20-40k,Hispanic,Female,Some Coll,No Kids,Single,50
AL,18-29,$20-40k,Hispanic,Female,Coll,Kids,Married,56
AL,18-29,$20-40k,Hispanic,Female,Coll,Kids,Single,0
AL,18-29,$20-40k,Hispanic,Female,Coll,No Kids,Married,0
AL,18-29,$20-40k,Hispanic,Female,Coll,No Kids,Single,0
AL,18-29,$20-40k,Hispanic,Female,Post-Grad,Kids,Married,0
AL,18-29,$20-40k,Hispanic,Female,Post-Grad,Kids,Single,0
AL,18-29,$20-40k,Hispanic,Female,Post-Grad,No Kids,Married,0
AL,18-29,$20-40k,Hispanic,Female,Post-Grad,No Kids,Single,20
AL,18-29,$20-40k,Other,Male,< HS,Kids,Married,52
AL,18-29,$20-40k,Other,Male,< HS,Kids,Single,175
AL,18-29,$20-40k,Other,Male,< HS,No Kids,Married,15
AL,18-29,$20-40k,Other,Male,< HS,No Kids,Single,176
AL,18-29,$20-40k,Other,Male,HS,Kids,Married,50
AL,18-29,$20-40k,Other,Male,HS,Kids,Single,222
AL,18-29,$20-40k,Other,Male,HS,No Kids,Married,106
AL,18-29,$20-40k,Other,Male,HS,No Kids,Single,371
AL,18-29,$20-40k,Other,Male,Some Coll,Kids,Married,149
AL,18-29,$20-40k,Other,Male,Some Coll,Kids,Single,55
AL,18-29,$20-40k,Other,Male,Some Coll,No Kids,Married,74
AL,18-29,$20-40k,Other,Male,Some Coll,No Kids,Single,177
AL,18-29,$20-40k,Other,Male,Coll,Kids,Married,30
AL,18-29,$20-40k,Other,Male,Coll,Kids,Single,0
AL,18-29,$20-40k,Other,Male,Coll,No Kids,Married,0
AL,18-29,$20-40k,Other,Male,Coll,No Kids,Single,95
AL,18-29,$20-40k,Other,Male,Post-Grad,Kids,Married,3
AL,18-29,$20-40k,Other,Male,Post-Grad,Kids,Single,0
AL,18-29,$20-40k,Other,Male,Post-Grad,No Kids,Married,0
AL,18-29,$20-40k,Other,Male,Post-Grad,No Kids,Single,0
AL,18-29,$20-40k,Other,Female,< HS,Kids,Married,66
AL,18-29,$20-40k,Other,Female,< HS,Kids,Single,17
AL,18-29,$20-40k,Other,Female,< HS,No Kids,Married,0
AL,18-29,$20-40k,Other,Female,< HS,No Kids,Single,290
AL,18-29,$20-40k,Other,Female,HS,Kids,Married,129
AL,18-29,$20-40k,Other,Female,HS,Kids,Single,123
AL,18-29,$20-40k,Other,Female,HS,No Kids,Married,26
AL,18-29,$20-40k,Other,Female,HS,No Kids,Single,182
AL,18-29,$20-40k,Other,Female,Some Coll,Kids,Married,133
AL,18-29,$20-40k,Other,Female,Some Coll,Kids,Single,136
AL,18-29,$20-40k,Other,Female,Some Coll,No Kids,Married,98
AL,18-29,$20-40k,Other,Female,Some Coll,No Kids,Single,435
AL,18-29,$20-40k,Other,Female,Coll,Kids,Married,34
AL,18-29,$20-40k,Other,Female,Coll,Kids,Single,24
AL,18-29,$20-40k,Other,Female,Coll,No Kids,Married,0
AL,18-29,$20-40k,Other,Female,Coll,No Kids,Single,147
AL,18-29,$20-40k,Other,Female,Post-Grad,Kids,Married,24
AL,18-29,$20-40k,Other,Female,Post-Grad,Kids,Single,0
AL,18-29,$20-40k,Other,Female,Post-Grad,No Kids,Married,0
AL,18-29,$20-40k,Other,Female,Post-Grad,No Kids,Single,61
AL,18-29,$40-75k,White,Male,< HS,Kids,Married,1629
AL,18-29,$40-75k,White,Male,< HS,Kids,Single,2418
AL,18-29,$40-75k,White,Male,< HS,No Kids,Married,1081
AL,18-29,$40-75k,White,Male,< HS,No Kids,Single,7004
AL,18-29,$40-75k,White,Male,HS,Kids,Married,5487
AL,18-29,$40-75k,White,Male,HS,Kids,Single,5092
AL,18-29,$40-75k,White,Male,HS,No Kids,Married,3797
AL,18-29,$40-75k,White,Male,HS,No Kids,Single,12768
AL,18-29,$40-75k,White,Male,Some Coll,Kids,Married,4772
AL,18-29,$40-75k,White,Male,Some Coll,Kids,Single,2737
AL,18-29,$40-75k,White,Male,Some Coll,No Kids,Married,3944
AL,18-29,$40-75k,White,Male,Some Coll,No Kids,Single,14117
AL,18-29,$40-75k,White,Male,Coll,Kids,Married,1122
AL,18-29,$40-75k,White,Male,Coll,Kids,Single,206
AL,18-29,$40-75k,White,Male,Coll,No Kids,Married,2351
AL,18-29,$40-75k,White,Male,Coll,No Kids,Single,4386
AL,18-29,$40-75k,White,Male,Post-Grad,Kids,Married,564
AL,18-29,$40-75k,White,Male,Post-Grad,Kids,Single,198
AL,18-29,$40-75k,White,Male,Post-Grad,No Kids,Married,545
AL,18-29,$40-75k,White,Male,Post-Grad,No Kids,Single,731
AL,18-29,$40-75k,White,Female,< HS,Kids,Married,1641
AL,18-29,$40-75k,White,Female,< HS,Kids,Single,1765
AL,18-29,$40-75k,White,Female,< HS,No Kids,Married,453
AL,18-29,$40-75k,White,Female,< HS,No Kids,Single,3406
AL,18-29,$40-75k,White,Female,HS,Kids,Married,6462
AL,18-29,$40-75k,White,Female,HS,Kids,Single,4401
AL,18-29,$40-75k,White,Female,HS,No Kids,Married,2727
AL,18-29,$40-75k,White,Female,HS,No Kids,Single,8901
AL,18-29,$40-75k,White,Female,Some Coll,Kids,Married,8664
AL,18-29,$40-75k,White,Female,Some Coll,Kids,Single,3228
AL,18-29,$40-75k,White,Female,Some Coll,No Kids,Married,4723
AL,18-29,$40-75k,White,Female,Some Coll,No Kids,Single,10171
AL,18-29,$40-75k,White,Female,Coll,Kids,Married,3589
AL,18-29,$40-75k,White,Female,Coll,Kids,Single,532
AL,18-29,$40-75k,White,Female,Coll,No Kids,Married,3723
AL,18-29,$40-75k,White,Female,Coll,No Kids,Single,4606
AL,18-29,$40-75k,White,Female,Post-Grad,Kids,Married,603
AL,18-29,$40-75k,White,Female,Post-Grad,Kids,Single,24
AL,18-29,$40-75k,White,Female,Post-Grad,No Kids,Married,1026
AL,18-29,$40-75k,White,Female,Post-Grad,No Kids,Single,662
AL,18-29,$40-75k,Black,Male,< HS,Kids,Married,68
AL,18-29,$40-75k,Black,Male,< HS,Kids,Single,1873
AL,18-29,$40-75k,Black,Male,< HS,No Kids,Married,53
AL,18-29,$40-75k,Black,Male,< HS,No Kids,Single,2525
AL,18-29,$40-75k,Black,Male,HS,Kids,Married,1271
AL,18-29,$40-75k,Black,Male,HS,Kids,Single,4474
AL,18-29,$40-75k,Black,Male,HS,No Kids,Married,471
AL,18-29,$40-75k,Black,Male,HS,No Kids,Single,6695
AL,18-29,$40-75k,Black,Male,Some Coll,Kids,Married,1000
AL,18-29,$40-75k,Black,Male,Some Coll,Kids,Single,1904
AL,18-29,$40-75k,Black,Male,Some Coll,No Kids,Married,441
AL,18-29,$40-75k,Black,Male,Some Coll,No Kids,Single,4093
AL,18-29,$40-75k,Black,Male,Coll,Kids,Married,261
AL,18-29,$40-75k,Black,Male,Coll,Kids,Single,205
AL,18-29,$40-75k,Black,Male,Coll,No Kids,Married,352
AL,18-29,$40-75k,Black,Male,Coll,No Kids,Single,1162
AL,18-29,$40-75k,Black,Male,Post-Grad,Kids,Married,125
AL,18-29,$40-75k,Black,Male,Post-Grad,Kids,Single,93
AL,18-29,$40-75k,Black,Male,Post-Grad,No Kids,Married,29
AL,18-29,$40-75k,Black,Male,Post-Grad,No Kids,Single,242
AL,18-29,$40-75k,Black,Female,< HS,Kids,Married,160
AL,18-29,$40-75k,Black,Female,< HS,Kids,Single,664
AL,18-29,$40-75k,Black,Female,< HS,No Kids,Married,47
AL,18-29,$40-75k,Black,Female,< HS,No Kids,Single,1712
AL,18-29,$40-75k,Black,Female,HS,Kids,Married,903
AL,18-29,$40-75k,Black,Female,HS,Kids,Single,2779
AL,18-29,$40-75k,Black,Female,HS,No Kids,Married,491
AL,18-29,$40-75k,Black,Female,HS,No Kids,Single,3167
AL,18-29,$40-75k,Black,Female,Some Coll,Kids,Married,1882
AL,18-29,$40-75k,Black,Female,Some Coll,Kids,Single,2704
AL,18-29,$40-75k,Black,Female,Some Coll,No Kids,Married,521
AL,18-29,$40-75k,Black,Female,Some Coll,No Kids,Single,4827
AL,18-29,$40-75k,Black,Female,Coll,Kids,Married,409
AL,18-29,$40-75k,Black,Female,Coll,Kids,Single,584
AL,18-29,$40-75k,Black,Female,Coll,No Kids,Married,327
AL,18-29,$40-75k,Black,Female,Coll,No Kids,Single,1571
AL,18-29,$40-75k,Black,Female,Post-Grad,Kids,Married,0
AL,18-29,$40-75k,Black,Female,Post-Grad,Kids,Single,0
AL,18-29,$40-75k,Black,Female,Post-Grad,No Kids,Married,41
AL,18-29,$40-75k,Black,Female,Post-Grad,No Kids,Single,478
AL,18-29,$40-75k,Hispanic,Male,< HS,Kids,Married,161
AL,18-29,$40-75k,Hispanic,Male,< HS,Kids,Single,83
AL,18-29,$40-75k,Hispanic,Male,< HS,No Kids,Married,24
AL,18-29,$40-75k,Hispanic,Male,< HS,No Kids,Single,158
AL,18-29,$40-75k,Hispanic,Male,HS,Kids,Married,138
AL,18-29,$40-75k,Hispanic,Male,HS,Kids,Single,162
AL,18-29,$40-75k,Hispanic,Male,HS,No Kids,Married,152
AL,18-29,$40-75k,Hispanic,Male,HS,No Kids,Single,186
AL,18-29,$40-75k,Hispanic,Male,Some Coll,Kids,Married,4
